Pathways,Common-Name,Compounds of pathway,Kegg,Genes of pathway,Enzymes of pathway,Common-Name
PWY-6894,thiamine diphosphate biosynthesis I (E. coli),ADP // THIAMINE-PYROPHOSPHATE // ATP // PPI // CARBON-DIOXIDE // THIAMINE-P // CPD-13575 // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00068'>C00068</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01081'>C01081</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20246'>C20246</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04752'>C04752</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,G1G01-568 // G1G01-5120 // G1G01-1436,G1G01-568-MONOMER // G1G01-5120-MONOMER // G1G01-1436-MONOMER,thiamin monophosphate kinase // thiamine-phosphate synthase // MutT/nudix family protein/thiamine-phosphate pyrophosphorylase
PWY-8072,alanine racemization,D-ALANINE // L-ALPHA-ALANINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00133'>C00133</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a>,G1G01-5627 // G1G01-3975,G1G01-5627-MONOMER // G1G01-3975-MONOMER,alanine racemase // amino acid racemase
PWY-3941,&beta;-alanine biosynthesis II,AMP // PPI // PROPIONATE // ATP // CO-A // 3-HYDROXY-PROPIONYL-COA // WATER // NADH // 3-HYDROXY-PROPIONATE // NAD // ETF-Reduced // ACRYLYL-COA // PROPIONYL-COA // ETF-Oxidized // PROTON // PYRUVATE // B-ALANINE // MALONATE-S-ALD // L-ALPHA-ALANINE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00163'>C00163</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05668'>C05668</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01013'>C01013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00894'>C00894</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00100'>C00100</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04253'>C04253</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00099'>C00099</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00222'>C00222</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a>,G1G01-2354 // G1G01-3692 // G1G01-3977 // G1G01-2513 // G1G01-1504 // G1G01-59 // G1G01-647,G1G01-2354-MONOMER // G1G01-3692-MONOMER // G1G01-3977-MONOMER // G1G01-2513-MONOMER // G1G01-1504-MONOMER // G1G01-59-MONOMER // G1G01-647-MONOMER,acyl-CoA synthetase // propionyl-CoA synthetase // 3-hydroxyisobutyryl-CoA hydrolase // choline dehydrogenase // omega-amino acid--pyruvate aminotransferase
PWY0-1507,biotin biosynthesis from 8-amino-7-oxononanoate I,CPD1ZN3-1 // CPD-5662 // ADP // Pi // PROTON // CARBON-DIOXIDE // ATP // Oxidized-2Fe-2S-Ferredoxins // MET // CH33ADO // BIOTIN // Unsulfurated-Sulfur-Acceptors // Sulfurated-Sulfur-Acceptors // DETHIOBIOTIN // Reduced-2Fe-2S-Ferredoxins // DIAMINONONANOATE // S-ADENOSYL-4-METHYLTHIO-2-OXOBUTANOATE // S-ADENOSYLMETHIONINE // 8-AMINO-7-OXONONANOATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00073'>C00073</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05198'>C05198</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00120'>C00120</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01909'>C01909</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01037'>C01037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04425'>C04425</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00019'>C00019</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01092'>C01092</a>,G1G01-400 // G1G01-396 // G1G01-5329,G1G01-400-MONOMER // G1G01-396-MONOMER // G1G01-5329-MONOMER,dethiobiotin synthetase // biotin synthase // adenosylmethionine--8-amino-7-oxononanoate aminotransferase BioA
ACETATEUTIL-PWY,superpathway of acetate utilization and formation,AMP // PPI // ADP // ATP // ACET // CO-A // ACETYL-P // Pi // ACETYL-COA,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00033'>C00033</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00227'>C00227</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,G1G01-5023 // G1G01-4789 // G1G01-1549 // G1G01-5429 // G1G01-850,G1G01-5023-MONOMER // G1G01-4789-MONOMER // G1G01-1549-MONOMER // G1G01-5429-MONOMER // G1G01-850-MONOMER,acetyl-CoA synthetase // acyl-CoA synthetase // phosphoribosylglycinamide formyltransferase // malic enzyme B // phosphate acetyltransferase
ETOH-ACETYLCOA-ANA-PWY,ethanol degradation I,ETOH // PROTON // NADH // ACETYL-COA // ACETALD // CO-A // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00469'>C00469</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00084'>C00084</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-2668,G1G01-2668-MONOMER,NAD(P)-dependent alcohol dehydrogenase
THRESYN-PWY,superpathway of L-threonine biosynthesis,NADPH // L-BETA-ASPARTYL-P // NADP // NADH-P-OR-NOP // L-ASPARTATE-SEMIALDEHYDE // NAD-P-OR-NOP // ADP // PROTON // HOMO-SER // ATP // THR // Pi // O-PHOSPHO-L-HOMOSERINE // WATER // OXALACETIC_ACID // GLT // L-ASPARTATE // 2-KETOGLUTARATE,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03082'>C03082</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00441'>C00441</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00263'>C00263</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00188'>C00188</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01102'>C01102</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00036'>C00036</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00049'>C00049</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00026'>C00026</a>,G1G01-4774 // G1G01-2122 // G1G01-2120 // G1G01-1562 // G1G01-736 // G1G01-126 // G1G01-1563 // G1G01-734 // G1G01-4040 // G1G01-2098 // G1G01-5011,G1G01-4774-MONOMER // CPLX1G01-120 // G1G01-1562-MONOMER // G1G01-736-MONOMER // G1G01-126-MONOMER // G1G01-1563-MONOMER // G1G01-734-MONOMER // G1G01-4040-MONOMER // G1G01-2098-MONOMER // G1G01-5011-MONOMER,aspartokinase // aspartate-semialdehyde dehydrogenase // homoserine dehydrogenase // homoserine kinase // threonine synthase // aminotransferase // aromatic amino acid aminotransferase // aspartate/tyrosine/aromatic aminotransferase
PWY-7639,bis(guanylyl molybdenum cofactor) biosynthesis,PPI // CPD-15873 // GTP // WATER // CPD-15874 // CPD-15870 // CPD-4 // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18237'>C18237</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05924'>C05924</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,G1G01-3691,G1G01-3691-MONOMER,molybdenum cofactor guanylyltransferase
PWY-7195,pyrimidine ribonucleosides salvage III,D-Ribofuranose // CYTIDINE // AMMONIUM // URACIL // CYTOSINE // WATER // PROTON,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00475'>C00475</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00106'>C00106</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00380'>C00380</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a>,G1G01-2630 // G1G01-3410,G1G01-2630-MONOMER // G1G01-3410-MONOMER,ribonucleoside hydrolase // cytosine deaminase/isoguanine deaminase
PWY-2161,folate polyglutamylation,GLT // Pi // ADP // FORMYL-THF-GLU-N // ATP // FORMATE // THF-GLU-N // SER // GLY // METHYLENE-THF-GLU-N // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00058'>C00058</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03541'>C03541</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00037'>C00037</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-2127 // G1G01-2067 // G1G01-743 // G1G01-355,G1G01-2127-MONOMER // G1G01-2067-MONOMER // G1G01-743-MONOMER // G1G01-355-MONOMER,bifunctional folypolyglutamate synthase/dihydrofolate synthase // bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase // serine hydroxymethyltransferase
PWY-5705,allantoin degradation to glyoxylate III,GLYOX // UREA // S-ALLANTOIN // CARBON-DIOXIDE // PROTON // ALLANTOATE // AMMONIUM // CPD-1091 // CPD0-2298 // WATER,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00048'>C00048</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00086'>C00086</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02350'>C02350</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00499'>C00499</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01342'>C01342</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00603'>C00603</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02091'>C02091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a>,G1G01-4566 // G1G01-4564 // G1G01-4299 // G1G01-671 // G1G01-3766,G1G01-4566-MONOMER // G1G01-4564-MONOMER // G1G01-4299-MONOMER // G1G01-671-MONOMER // G1G01-3766-MONOMER,ureidoglycolate lyase // allantoinase // bifunctional N-carbamoyl-beta-alanine amidohydrolase/allantoine amidohydrolase // S-ureidoglycine aminohydrolase
PWY0-1264,biotin-carboxyl carrier protein assembly,BIO-5-AMP // AMP // PPI // BCCP-L-lysine // BIOTIN // BCCP-biotin-L-lysine // PROTON // ADP // Pi // HCO3 // ATP // biotin-L-lysine-in-BCCP-dimers // MALONYL-COA // ACETYL-COA // carboxybiotin-L-lysine-in-BCCP-dimers,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05921'>C05921</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00120'>C00120</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00288'>C00288</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00083'>C00083</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a>,G1G01-476 // G1G01-608 // G1G01-1704 // G1G01-2126,G1G01-476-MONOMER // CPLX1G01-83 // CPLX1G01-81,bifunctional biotin-[acetyl-CoA-carboxylase] ligase/biotin operon repressor BirA // acetyl-CoA carboxylase carboxyltransferase
TRPSYN-PWY,L-tryptophan biosynthesis,AMMONIA // CPD-9517 // CARBON-DIOXIDE // CARBOXYPHENYLAMINO-DEOXYRIBULOSE-P // PRPP // N-5-PHOSPHORIBOSYL-ANTHRANILATE // PPI // PYRUVATE // GLT // ANTHRANILATE // PROTON // CHORISMATE // GLN // WATER // TRP // SER // GAP // INDOLE // INDOLE-3-GLYCEROL-P,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00014'>C00014</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18054'>C18054</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01302'>C01302</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00119'>C00119</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04302'>C04302</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00022'>C00022</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00108'>C00108</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00251'>C00251</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00064'>C00064</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00078'>C00078</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00065'>C00065</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00118'>C00118</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00463'>C00463</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03506'>C03506</a>,G1G01-458 // G1G01-2125 // G1G01-457 // G1G01-454 // G1G01-456 // G1G01-86 // G1G01-87,G1G01-458-MONOMER // G1G01-2125-MONOMER // G1G01-457-MONOMER // CPLX1G01-153 // CPLX1G01-106,indole-3-glycerol phosphate synthase // N-(5'-phosphoribosyl)anthranilate isomerase // anthranilate phosphoribosyltransferase // anthranilate synthase complex // tryptophan synthase
PWY-6387,UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing),UDP-N-ACETYL-D-GLUCOSAMINE // PHOSPHO-ENOL-PYRUVATE // UDP-ACETYL-CARBOXYVINYL-GLUCOSAMINE // NADPH // NADP // C1 // L-ALPHA-ALANINE // UDP-N-ACETYLMURAMATE // CPD0-1456 // D-GLT // GLT // UDP-AAGM-DIAMINOHEPTANEDIOATE // UDP-AA-GLUTAMATE // MESO-DIAMINOPIMELATE // ADP // Pi // D-ALA-D-ALA // PROTON // D-ALANINE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00043'>C00043</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00074'>C00074</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04631'>C04631</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00005'>C00005</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00006'>C00006</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04882'>C04882</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00041'>C00041</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01050'>C01050</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01212'>C01212</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00217'>C00217</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00025'>C00025</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04877'>C04877</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00692'>C00692</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00680'>C00680</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00993'>C00993</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00133'>C00133</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-1038 // G1G01-2015 // G1G01-1420 // G1G01-1425 // G1G01-1422 // G1G01-811 // G1G01-1419 // G1G01-4629 // G1G01-4624 // G1G01-1426,G1G01-1038-MONOMER // G1G01-2015-MONOMER // G1G01-1420-MONOMER // G1G01-1425-MONOMER // G1G01-1422-MONOMER // G1G01-811-MONOMER // G1G01-1419-MONOMER // G1G01-4629-MONOMER // G1G01-4624-MONOMER // G1G01-1426-MONOMER,"UDP-N-acetylglucosamine 1-carboxyvinyltransferase // UDP-N-acetylenolpyruvoylglucosamine reductase // D-alanyl-D-alanine-adding enzyme // UDP-N-acetylmuramate--L-alanine ligase // UDP-N-acetylmuramoylalanine--D-glutamate ligase // glutamate racemase // UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase // D-alanine--D-alanine ligase // D-alanine--D-alanine ligase A // D-alanine--D-alanine ligase B"
PWY-8058,2-deoxy-D-ribose degradation II,PROT-CYS // Protein-S-Acetyl-Cysteines // CPD-22292 // NADH // CPD-22290 // NAD // CPD-16715 // WATER // Cytochromes-C-Reduced // CPD-22288 // CPD-22231 // Cytochromes-C-Oxidized // ADP // 2-PG // PROTON // GLYCERATE // ACETYL-COA // AMP // PPI // ACETOACETYL-COA // CO-A // 3-KETOBUTYRATE // ATP,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02743'>C02743</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00126'>C00126</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00125'>C00125</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00631'>C00631</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00258'>C00258</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00013'>C00013</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00332'>C00332</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00164'>C00164</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,G1G01-2964 // G1G01-1253 // G1G01-3860 // G1G01-3859 // G1G01-3398 // G1G01-4949 // G1G01-4007 // G1G01-2356 // G1G01-2354 // G1G01-3692 // G1G01-3977 // G1G01-3264,G1G01-2964-MONOMER // G1G01-1253-MONOMER // CPLX1G01-38 // G1G01-3398-MONOMER // G1G01-4949-MONOMER // G1G01-4007-MONOMER // G1G01-2356-MONOMER // G1G01-2354-MONOMER // G1G01-3692-MONOMER // G1G01-3977-MONOMER // G1G01-3264-MONOMER,short-chain dehydrogenase/reductase family oxidoreductase // gluconolactonase // 2-deoxy-D-ribose dehydrogenase // glycerate kinase // acetyl-CoA acetyltransferase // &beta;-ketothiolase BktB // acyl-CoA synthetase // acetoacetyl-CoA synthetase
PWY-5431,aromatic compounds degradation via &beta;-ketoadipate,CATECHOL // CIS-CIS-MUCONATE // CPD-15124 // WATER // SUC // 3-KETO-ADIPATE // CO-A // 3-KETO-ADIPYL-COA // SUC-COA // ACETYL-COA // OXYGEN-MOLECULE // 3-4-DIHYDROXYBENZOATE // CPD-245 // 3-OXOADIPATE-ENOL-LACTONE // CARBON-DIOXIDE // PROTON // CPD-7737,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00090'>C00090</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02480'>C02480</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14610'>C14610</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00001'>C00001</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00042'>C00042</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00846'>C00846</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00010'>C00010</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02232'>C02232</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00091'>C00091</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00024'>C00024</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00007'>C00007</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00230'>C00230</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01163'>C01163</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03586'>C03586</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00011'>C00011</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01278'>C01278</a>,G1G01-3966 // G1G01-3386 // G1G01-3968 // G1G01-3967 // G1G01-3338 // G1G01-3339 // G1G01-4216 // G1G01-4217 // G1G01-3509 // G1G01-1467 // G1G01-4968 // G1G01-4969 // G1G01-1469 // G1G01-1470 // G1G01-1471,G1G01-3966-MONOMER // G1G01-3386-MONOMER // G1G01-3968-MONOMER // G1G01-3967-MONOMER // CPLX1G01-73 // CPLX1G01-88 // G1G01-3509-MONOMER // G1G01-1467-MONOMER // CPLX1G01-136 // G1G01-1469-MONOMER // G1G01-1470-MONOMER // G1G01-1471-MONOMER,"catechol 1,2-dioxygenase // muconate cycloisomerase 1 // muconolactone delta-isomerase // 3-oxoacid CoA-transferase // 3-oxoadipate CoA-transferase // 3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase // beta-ketoadipyl-CoA thiolase // protocatechuate 3,4-dioxygenase // 3-carboxy-cis,cis-muconate cycloisomerase // 3-oxoadipate enol-lactonase // 4-carboxymuconolactone decarboxylase"
GLUT-REDOX-PWY,glutathione-glutaredoxin redox reactions,OXIDIZED-GLUTATHIONE // GLUTATHIONE // Ox-Glutaredoxins // Protein-Red-Disulfides // Protein-Ox-Disulfides // Red-Glutaredoxins,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00127'>C00127</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00051'>C00051</a>,G1G01-5398 // G1G01-3139,G1G01-5398-MONOMER // G1G01-3139-MONOMER,glutaredoxin
PWY3O-246,"(R,R)-butanediol degradation",PROTON // NADH // CPD-10353 // BUTANEDIOL // NAD,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00080'>C00080</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00004'>C00004</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00810'>C00810</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03044'>C03044</a> // <a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00003'>C00003</a>,G1G01-602,G1G01-602-MONOMER,"2,3-butanediol dehydrogenase"
